n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
50,sortat,5000,Merge Sort,OK,5000,0.005248,0.000001,0.000000,0.000011,200,400
50,sortat,5000,Heap Sort,OK,5000,0.005673,0.000001,0.000000,0.000010,0,200
50,sortat,5000,Counting Sort,OK,5000,0.002135,0.000000,0.000000,0.000008,400,600
50,sortat,5000,Radix Sort,OK,5000,0.002921,0.000001,0.000000,0.000008,240,440
50,invers_sortat,5000,Bubble Sort,OK,5000,0.016037,0.000003,0.000002,0.000022,0,200
50,invers_sortat,5000,Selection Sort,OK,5000,0.005942,0.000001,0.000000,0.000014,0,200
50,invers_sortat,5000,Insertion Sort,OK,5000,0.007621,0.000002,0.000001,0.000027,0,200
50,invers_sortat,5000,Quick Sort,OK,5000,0.002289,0.000000,0.000000,0.000011,0,200
50,invers_sortat,5000,Merge Sort,OK,5000,0.005329,0.000001,0.000000,0.000012,200,400
50,invers_sortat,5000,Heap Sort,OK,5000,0.004859,0.000001,0.000000,0.000012,0,200
50,invers_sortat,5000,Counting Sort,OK,5000,0.002080,0.000000,0.000000,0.000006,400,600
50,invers_sortat,5000,Radix Sort,OK,5000,0.002999,0.000001,0.000000,0.000012,240,440
50,aproape_sortat,5000,Bubble Sort,OK,5000,0.007969,0.000002,0.000001,0.000007,0,200
50,aproape_sortat,5000,Selection Sort,OK,5000,0.006144,0.000001,0.000001,0.000024,0,200
50,aproape_sortat,5000,Insertion Sort,OK,5000,0.002006,0.000000,0.000000,0.000008,0,200
50,aproape_sortat,5000,Quick Sort,OK,5000,0.002596,0.000001,0.000000,0.000007,0,200
50,aproape_sortat,5000,Merge Sort,OK,5000,0.005762,0.000001,0.000000,0.000010,200,400
50,aproape_sortat,5000,Heap Sort,OK,5000,0.006931,0.000001,0.000001,0.000012,0,200
50,aproape_sortat,5000,Counting Sort,OK,5000,0.002298,0.000000,0.000000,0.000005,400,600
50,aproape_sortat,5000,Radix Sort,OK,5000,0.003060,0.000001,0.000000,0.000021,240,440
50,plat,5000,Bubble Sort,OK,5000,0.018541,0.000004,0.000003,0.000027,0,200
50,plat,5000,Selection Sort,OK,5000,0.008494,0.000002,0.000001,0.000012,0,200
50,plat,5000,Insertion Sort,OK,5000,0.005621,0.000001,0.000000,0.000021,0,200
50,plat,5000,Quick Sort,OK,5000,0.005702,0.000001,0.000000,0.000018,0,200
50,plat,5000,Merge Sort,OK,5000,0.008107,0.000002,0.000001,0.000015,200,400
